Item,WasteStream,Notes
"1 mL & 200 µl plastic pipette tips",Sharps,
10 µl pipette tips,Biohazard yellow bags,
"6/12/24/96 well plates",Biohazard yellow bags,
Aerosol can,Landfill,
Aluminum cans,Recycle,
"Aluminum foil (tin foil)",Landfill,
Aluminum trays,Recycle,
Artificial plants,Landfill,
Balloons,Landfill,
Bandaids,Landfill,
Bandaids or dressing containing dry blood or body fluids,Biohazard yellow bags,
Batteries,Recycle,"Used battery container located behind the security desk, in the lobby of the LKSKI."
Binders,Landfill,
Black plastic containers,Landfill,
Blades,Sharps,
"Bleach/cleaning bottles",Recycle,
Books,Recycle,
Bottle caps,Recycle,
Boxboard,Recycle,
Bread,Organics,
Broken equipment,LKSKI loading dock next to the compactor,"All equipment must be decontaminated before being disposed of. If the equipment is heavy/oversized, please contact Housekeeping (416-697-6941) to assist you."
"Broken glass (flasks, bottles)",Sharps,
Bubble wrap,Landfill,
Calculator,Landfill,
Can lids,Recycle,
Candy wrapper,Landfill,
"Cardboard (ie. boxes, cans, tubes)",Recycle,
Cardboard drink tray,Recycle,
CD cases,Landfill,
CDs,Landfill,
Cell culture flasks,Biohazard yellow bags,
Cell scrapers,Biohazard yellow bags,
Centrifuge tubes plastic packaging bag,Landfill,
Cereal box,Recycle,
Chip bag,Landfill,
"Chocolate box",Recycle,
Cleaning wipes,Landfill,
Clipboards,Landfill,
Coffee cup lid,Recycle,
Coffee cup sleeve,Recycle,
"Coffee cups (lined with wax)",Landfill,"Starbucks, Subway, Tim Hortons, McDonalds, etc. "
Coffee filters,Organics,
Coffee grounds,Organics,
Coiled notebook,Recycle,
Coloured paper,Recycle,
Compostable bags,Organics,
Contaminated absorbent pads,Biohazard yellow bags,
Contaminated gloves,Biohazard yellow bags,
Contaminated paper towels,Biohazard yellow bags,
Cotton balls and swabs,Landfill,
Countertop absorbent pads,Landfill,
Cracker box,Recycle,
Crinkly plastic packaging,Landfill,
Cryotubes,Biohazard yellow bags,
Dairy products,Organics,
Dish detergent bottle,Recycle,
Disposable gowns,Landfill,
Elastic bands,Landfill,
Empty coffee creamer container,Recycle,
Empty hand sanitizer bottles,Recycle,
"Envelopes",Recycle,
"E-waste",Helpdesk x5751,
Falcon tubes,Biohazard yellow bags,
File folders,Recycle,
Flowers,Organics,
Foam microscope slide box,Landfill,
"Fridge/freezer","Engineering x5080",
Frozen food box,Recycle,
Frozen juice container,Recycle,
Fruit,Organics,
Fruit containers,Recycle,
Furniture,"Housekeeping (416-697-6941)","Desks, filing cabinets, bookcases, chairs"
Gift bags,Recycle,
Gift wrap,Landfill,
Glass,Recycle, Rinsed - remove lid if applicable - coloured glass products accepted.
Glass ampules,Sharps,
Glass bottom dish,Sharps,
Glass coverslips,Sharps,
Glass pasteur pipettes,Sharps,
Glass petri dish,Sharps,
Glass slides,Sharps,
Glass vacutainer tubes,Sharps,
Glass vials,Sharps,
Glossy paper,Recycle,
Glove box,Recycle,
Gloves,Landfill,
Granola bar wrapper,Landfill,
Gum packaging,Recycle,
Highlighters,Landfill,
Hole punch,Landfill,
Ice packs,Landfill,
"Ink/toner cartridges",Recycle,Can be recycled at the LKSKI security desk
Juice boxes,Recycle,
Kleenex box,Recycle,
Kraft paper packaging,Recycle,
"Latex/nitrile gloves",Landfill,
Magazines,Recycle,
Markers,Landfill,
Mask box,Recycle,
Masks,Landfill,
